"id","user_id","created_at","retweet_user_id","type","content","rank","user_type"
"1279453521725849600","480444935",2020-07-04,"480444935","retweet_in","Social Media Impact on Chess",50,"consumer"
"1284163175001190400","3161912605",2020-07-17,"23612012","retweet_in","Chess Legends and Personalities",2,"influencer"
"1284408506905497600","480444935",2020-07-18,"480444935","retweet_in","Chess Literature and Media",50,"consumer"
"1284518691573555200","1702864658",2020-07-18,"4369711156","retweet_in","Chess Literature and Media",26,"influencer"
"1290551833405030400","406172437",2020-08-04,"4369711156","retweet_in","Chess Legends and Personalities",26,"influencer"
"1293156005812019200","186797066",2020-08-11,"617004214","retweet_in","Social Media Impact on Chess",43,"consumer"
"1298546466433228800","3392260661",2020-08-26,"186797066","retweet_in","Chess Events and Tournaments",18,"consumer"
"1298684002182758400","126345156",2020-08-26,"29521967","retweet_in","Chess Legends and Personalities",30,"consumer"
"1300517156870860800","301042394",2020-08-31,"1651411087","retweet_in","Social Media Impact on Chess",22,"influencer"
"1301240369959628800","126345156",2020-09-02,"301042394","retweet_in","Online Chess Competitions",19,"influencer"
"1305580648749465600","406172437",2020-09-14,"23612012","retweet_in","Chess Events and Tournaments",2,"influencer"
"1309182334416179200","499173831",2020-09-24,"4369711156","retweet_in","Social Media Impact on Chess",26,"influencer"
"1310695593078067200","161308987",2020-09-28,"28994084","retweet_in","Chess Literature and Media",23,"consumer"
"1312373817021542400","186797066",2020-10-03,"4369711156","retweet_in","Online Chess Competitions",26,"influencer"
"1313193326854758400","499173831",2020-10-05,"919900711","retweet_in","Tournament Results and Standings",15,"influencer"
"1314260630854041600","919900711",2020-10-08,"132702118","retweet_in","Player Performances and Strategies",6,"consumer"
"1315011235520409600","919900711",2020-10-10,"132702118","retweet_in","Player Performances and Strategies",6,"consumer"
"1316544619182796800","4922808130",2020-10-15,"75174049","retweet_in","Social Media Impact on Chess",40,"consumer"
"1316811571524403200","28994084",2020-10-15,"132702118","retweet_in","Player Performances and Strategies",6,"consumer"
"1317144589267046400","3392260661",2020-10-16,"919900711","retweet_in","Social Media Impact on Chess",15,"influencer"
"1317528535494348800","75174049",2020-10-17,"23612012","retweet_in","Chess Events and Tournaments",2,"influencer"
"1325918291748147200","301042394",2020-11-09,"1651411087","retweet_in","Social Media Impact on Chess",22,"influencer"
"1326150476031795200","186797066",2020-11-10,"480444935","retweet_in","Chess Legends and Personalities",50,"consumer"
"1327200598085734400","92284830",2020-11-13,"186797066","retweet_in","Chess Legends and Personalities",18,"consumer"
"1327347788338892800","301042394",2020-11-13,"1651411087","retweet_in","Social Media Impact on Chess",22,"influencer"
"1327599080940441600","126345156",2020-11-14,"29521967","retweet_in","Chess Legends and Personalities",30,"consumer"
"1327675721406361600","1702864658",2020-11-14,"132702118","retweet_in","Social Media Impact on Chess",6,"consumer"
"1334503956735795200","3392260661",2020-12-03,"29521967","retweet_in","Social Media Impact on Chess",30,"consumer"
"1334504195823718400","126345156",2020-12-03,"29521967","retweet_in","Social Media Impact on Chess",30,"consumer"
"1336266057766604800","480444935",2020-12-08,"4369711156","retweet_in","Chess Legends and Personalities",26,"influencer"
"1336933021526732800","391563229",2020-12-10,"46465628","retweet_in","Chess Events and Tournaments",42,"consumer"
"1337385687151206400","28994084",2020-12-11,"97426170","retweet_in","Social Media Impact on Chess",53,"consumer"
"1341423532450918400","186797066",2020-12-22,"4369711156","retweet_in","Player Performances and Strategies",26,"influencer"
"1343140974189568000","46465628",2020-12-27,"1884178352","retweet_in","Tournament Results and Standings",7,"consumer"
"1343340030408806400","354486695",2020-12-27,"186797066","retweet_in","Chess Literature and Media",18,"consumer"
"1350460840001024000","28994084",2021-01-16,"227629567","retweet_in","Tournament Results and Standings",51,"influencer"
"1350475358559232000","186797066",2021-01-16,"4369711156","retweet_in","Chess Training and Improvement",26,"influencer"
"1350764235056435200","77210396",2021-01-17,"228660231","retweet_in","Chess Legends and Personalities",17,"influencer"
"1353799320437452800","1651411087",2021-01-25,"301042394","retweet_in","Online Chess Competitions",19,"influencer"
"1355570653865369600","101850896",2021-01-30,"4369711156","retweet_in","Chess Legends and Personalities",26,"influencer"
"1355612026203238400","3392260661",2021-01-30,"227629567","retweet_in","Chess Events and Tournaments",51,"influencer"
"1356371761072230400","3161912605",2021-02-01,"126345156","retweet_in","Tournament Results and Standings",16,"consumer"
"1356638714206822400","97426170",2021-02-02,"13247182","retweet_in","Social Media Impact on Chess",36,"consumer"
"1361576063906816000","186797066",2021-02-16,"4369711156","retweet_in","Chess Training and Improvement",26,"influencer"
"1362130718302822400","126345156",2021-02-17,"301042394","retweet_in","Online Chess Competitions",19,"influencer"
